;VarName;NAAllowed?;SpecificNeighborsReq?;RegExCheck;AllowedToAlreadyExist;NewValuesAllowed;SimilarityCheckBoundary;Type;HasToOccurAsPrimaryIDIN;ConstructedOnBasisOff;Type;CheckTheseSheetsForPrimaryIdOccurenceWhenReplaced;;;;;
POLI;other_name;TRUE;;^([A-Z]|[a-z]|-| ){2,60}$;TRUE;TRUE;;text;;;;;;;;;
POLI;gender;TRUE;;(f|m|NA|nb|tm|tf);TRUE;TRUE;;text;;;;;;;;;
POLI;birth_date;TRUE;;^(([0-9]{2}){0,1}(jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){0,1}((1|2)(0|7|8|9)([0-9]{2})))(\[\[(rcen|lcen)\]\]){0,1}|(NA|NC)$;TRUE;TRUE;;text;;;;;;;;;
POLI;death_date;TRUE;;^(([0-9]{2}){0,1}(jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec){0,1}((1|2)(0|7|8|9)([0-9]{2})))(\[\[(rcen|lcen)\]\]){0,1}|(NA|NC)$;TRUE;TRUE;;text;;;;;;;;;
POLI;birth_place_raw;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
POLI;citizenship_canton;TRUE;;"^(AG|AR|AI|BL|BS|BE|FR|GE|GL|GR|JU|LU|NE|NW|OW|SG|SH|SZ|SO|TG|TI|UR|VD|VS|ZG|ZH|AG;|AR;|AI;|BL;|BS;|BE;|FR;|GE;|GL;|GR;|JU;|LU;|NE;|NW;|OW;|SG;|SH;|SZ;|SO;|TG;|TI;|UR;|VD;|VS;|ZG;|ZH;){1,6}$";TRUE;TRUE;;text;;;;;;;;;
POLI;hometown_raw;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
POLI;title_raw;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
POLI;military_raw;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
POLI;twitter_screen_name;TRUE;;.+;TRUE;TRUE;;text;;;;;;;;;
POLI;twitter_id;TRUE;;([0-9]|NA|NC);FALSE;TRUE;;text;;;;;;;;;
POLI;facebook_username;TRUE;;^[a-zA-Z0-9][a-zA-Z0-9\._-]{3,48}[a-zA-Z0-9]$;FALSE;TRUE;;text;;;;;;;;;
